fuente,estacion,nombre,municipio,lat,lon,temperatura,humedad,dpv,nivel,estado
AVAMET,AdemuzIES Ademuz,AdemuzIES Ademuz,Ademuz,40.059977777777775,-1.285122222222222,26.4,44.0,1.93,,con datos
AEMET,Alacant/Alicante,Alacant/Alicante,Alacant/Alicante,38.3452,-0.481,31.7,38.0,2.9,,con datos
Meteoclimatic,Albal,Albal,Albal,39.39,-0.41,30.5,50.0,2.18,,con datos
Meteoclimatic,Albalat de la Ribera,Albalat de la Ribera,Albalat de la Ribera,39.2,-0.39,30.3,52.0,2.07,,con datos
Meteoclimatic,Alberic - Nord,Alberic - Nord,Alberic,39.13,-0.52,33.7,37.0,3.3,,con datos
AEMET,Alcoi/Alcoy,Alcoi/Alcoy,Alcoi/Alcoy,38.6987,-0.4737,32.9,27.0,3.65,,con datos
AEMET,Alicante-Elche Aeropuerto,Alicante-Elche Aeropuerto,Alicante-Elche,38.2822,-0.5582,30.0,52.0,2.04,,con datos
Meteoclimatic,Almiserà,Almiserà,Almiserà,38.92,-0.29,31.6,57.0,2.0,,con datos
AVAMET,AlziraAjuntament,AlziraAjuntament,Alzira,39.15194722222222,-0.4430222222222222,25.9,69.0,1.04,,con datos
AVAMET,Anna,Anna,Anna,39.01931388888889,-0.6476388888888889,27.1,69.0,1.11,,con datos
AVAMET,AyoraSan Benito,AyoraSan Benito,Ayora,38.92916944444444,-1.102363888888889,25.8,60.0,1.33,,con datos
AVAMET,Barx,Barx,Barx,39.0139,-0.3014,22.9,76.0,0.67,,con datos
Meteoclimatic,Barxeta,Barxeta,Barxeta,39.02,-0.42,32.0,43.0,2.71,,con datos
AEMET,Benidorm,Benidorm,Benidorm,38.5411,-0.1225,32.8,36.0,3.18,,con datos
Meteoclimatic,Benigànim,Benigànim,Benigànim,38.95,-0.45,33.4,49.0,2.62,,con datos
Meteoclimatic,Benimodo,Benimodo,Benimodo,39.21,-0.53,31.7,48.0,2.43,,con datos
AVAMET,BicorpEcomuseo,BicorpEcomuseo,Bicorp,39.1317,-0.7879,24.4,4.0,2.93,,con datos
AVAMET,Buñol,Buñol,Buñol,39.4194,-0.7906,24.8,65.0,1.1,,con datos
AVAMET,Bétera,Bétera,Bétera,39.590900000000005,-0.4602,25.3,61.0,1.26,,con datos
AVAMET,CamporroblesAyuntamiento,CamporroblesAyuntamiento,Camporrobles,39.6487,-1.3957,22.3,9.0,2.45,,con datos
AEMET,Carcaixent,Carcaixent,Carcaixent,39.1217,-0.4489,34.5,26.0,4.05,,con datos
AVAMET,Carlet,Carlet,Carlet,39.229400000000005,-0.5076138888888889,27.4,63.0,1.35,,con datos
AEMET,Castellfort,Castellfort,Castellfort,40.5028,-0.1917,27.1,30.0,2.51,,con datos
Meteoclimatic,Castelló,Castelló,Castelló,39.08,-0.51,35.7,35.0,3.8,,con datos
AEMET,Castelló - Almassora,Castelló - Almassora,Castelló/Almassora,39.956,-0.065,32.0,46.0,2.57,,con datos
AEMET,Chelva,Chelva,Chelva,39.7494,-0.9967,32.6,32.0,3.34,,con datos
Meteoclimatic,Cheste,Cheste,Cheste,39.49,-0.68,33.3,35.0,3.33,,con datos
AVAMET,Cofrentes,Cofrentes,Cofrentes,39.232800000000005,-1.0617,24.6,63.0,1.14,,con datos
AVAMET,Cortes de PallásAyuntamiento,Cortes de PallásAyuntamiento,Cortes de Pallás,39.2456,-0.9408,18.6,23.0,1.65,,con datos
Meteoclimatic,Cullera - Dosser,Cullera - Dosser,Cullera,39.19,-0.23,27.9,78.0,0.83,,con datos
AVAMET,Dos Aguas,Dos Aguas,Dos Aguas,39.2898,-0.7986,24.8,61.0,1.22,,con datos
Meteoclimatic,El Perelló,El Perelló,El Perelló,39.27,-0.28,28.1,74.0,0.99,,con datos
Meteoclimatic,El Puig de Santa Maria,El Puig de Santa Maria,El Puig de Santa Maria,39.59,-0.3,29.2,64.0,1.46,,con datos
AVAMET,EngueraEl Transformador,EngueraEl Transformador,Enguera,38.95743333333333,-0.8256166666666667,22.1,81.0,0.51,,con datos
Meteoclimatic,Faura,Faura,Faura,39.72,-0.27,32.1,51.0,2.34,,con datos
AVAMET,Fontanarspoble,Fontanarspoble,Fontanars dels Alforins,38.78516666666666,-0.7851555555555555,22.9,72.0,0.78,,con datos
AVAMET,GandiaAjuntament,GandiaAjuntament,Gandia,38.96594166666667,-0.1792694444444444,24.7,73.0,0.84,,con datos
Meteoclimatic,Gilet,Gilet,Gilet,39.68,-0.32,31.6,44.0,2.6,,con datos
AEMET,Jávea/ Xàbia,Jávea/ Xàbia,Jávea/Xàbia,38.789,0.1631,29.6,47.0,2.2,,con datos
Meteoclimatic,L'Olleria - Ajuntament,L'Olleria - Ajuntament,L'Olleria,38.91,-0.55,31.4,46.0,2.48,,con datos
Meteoclimatic,La Pobla del Duc,La Pobla del Duc,La Pobla del Duc,38.9,-0.42,30.9,55.0,2.01,,con datos
AEMET,Llíria,Llíria,Llíria,39.6289,-0.5972,35.2,31.0,3.92,,con datos
Meteoclimatic,Massalavés,Massalavés,Massalavés,39.14,-0.52,33.9,43.0,3.02,,con datos
AEMET,Miramar,Miramar,Miramar,38.95,-0.1394,30.7,63.0,1.63,,con datos
AEMET,Morella,Morella,Morella,40.6197,-0.0989,29.7,38.0,2.59,,con datos
AEMET,Oliva,Oliva,Oliva,38.919,-0.1194,28.2,75.0,0.96,,con datos
AVAMET,OntinyentIES Jaume I,OntinyentIES Jaume I,Ontinyent,38.82222222222222,-0.5961111111111111,26.3,66.0,1.16,,con datos
Meteoclimatic,Pedralba - Serretilla,Pedralba - Serretilla,Pedralba,39.6,-0.75,34.1,36.0,3.42,,con datos
AEMET,Polinyà de Xúquer,Polinyà de Xúquer,Polinyà de Xúquer,39.1964,-0.3697,31.1,44.0,2.53,,con datos
AVAMET,Puebla de San Miguel,Puebla de San Miguel,Puebla de San Miguel,40.04433611111111,-1.1416638888888888,23.6,39.0,1.78,,con datos
AVAMET,PuçolUrbanización Alfinach,PuçolUrbanización Alfinach,Puçol,39.6467,-0.3049,24.1,73.0,0.81,,con datos
AVAMET,Quatretonda,Quatretonda,Quatretonda,38.94472222222222,-0.3997333333333334,26.0,5.0,3.19,,con datos
Meteoclimatic,Quesa - EcoCampingQuesa,Quesa - EcoCampingQuesa,Quesa,39.12,-0.74,31.7,42.0,2.71,,con datos
AVAMET,Requena,Requena,Requena,39.48861111111111,-1.080833333333333,26.1,54.0,1.56,,con datos
AEMET,Rojales,Rojales,Rojales,38.0886,-0.7222,30.7,54.0,2.03,,con datos
AEMET,Segorbe,Segorbe,Segorbe,39.8519,-0.4894,31.4,32.0,3.13,,con datos
AVAMET,SinarcasLa Raílla,SinarcasLa Raílla,Sinarcas,39.733069444444446,-1.2291500000000002,24.1,61.0,1.17,,con datos
AEMET,Sollana,Sollana,Sollana,39.2786,-0.3828,29.5,62.0,1.57,,con datos
AVAMET,Sot de Chera,Sot de Chera,Sot de Chera,39.620666666666665,-0.909088888888889,25.3,61.0,1.26,,con datos
AVAMET,Sueca,Sueca,Sueca,39.2026,-0.3111638888888888,26.2,73.0,0.92,,con datos
AVAMET,TitaguasCosmofísica,TitaguasCosmofísica,Titaguas,39.8667,-1.0836,23.6,55.0,1.31,,con datos
Meteoclimatic,Torrebaja,Torrebaja,Torrebaja,40.09,-1.26,32.4,26.0,3.6,,con datos
AVAMET,TorrentAv. al Vedat,TorrentAv. al Vedat,Torrent,39.42858333333333,-0.47775,25.5,68.0,1.04,,con datos
Meteoclimatic,Tous,Tous,Tous,39.14,-0.59,33.1,48.0,2.63,,con datos
Meteoclimatic,Turís - Greenval,Turís - Greenval,Turís,39.36,-0.72,31.2,47.0,2.41,,con datos
AEMET,València,València,València,39.4699,-0.3763,31.0,45.0,2.47,,con datos
Meteoclimatic,Vilallonga/Villalonga-Aj.,Vilallonga/Villalonga-Aj.,Vilallonga/Villalonga,38.88,-0.21,32.7,45.0,2.72,,con datos
Meteoclimatic,Vilamarxant - Aj.,Vilamarxant - Aj.,Vilamarxant,39.57,-0.62,32.3,39.0,2.95,,con datos
AEMET,Villafranca del Cid/Vilafranca,Villafranca del Cid/Vilafranca,Villafranca del Cid/Vilafranca,40.4272,-0.2578,27.9,32.0,2.56,,con datos
AEMET,Villena,Villena,Villena,38.6373,-0.8657,33.0,28.0,3.62,,con datos
AEMET,Vinaròs-Viveros Alcanar,Vinaròs-Viveros Alcanar,Vinaròs/Alcanar,40.5436,0.48,33.7,43.0,2.98,,con datos
Meteoclimatic,Xeresa,Xeresa,Xeresa,39.01,-0.22,29.4,57.0,1.76,,con datos
Meteoclimatic,Xirivella,Xirivella,Xirivella,39.46,-0.42,33.7,27.0,3.82,,con datos
AEMET,Xàtiva,Xàtiva,Xàtiva,38.989,-0.5156,35.1,31.0,3.9,,con datos
AEMET,Zarra,Zarra,Zarra,39.0922,-1.0758,33.6,17.0,4.32,,con datos
Meteoclimatic,casinos,casinos,casinos,39.7,-0.7,32.7,28.0,3.56,,con datos
AEMET,el Pinós/Pinoso,el Pinós/Pinoso,el Pinós/Pinoso,38.4011,-1.0414,32.2,27.0,3.51,,con datos
